Sector,Ticker,Instrument,Leveraged,ETN,BullBear,Outlook_Raw,Outlook_Category,Why_Drop,Bounce_Driver,Election_Sensitivity,Election_Beta,Play_Type,Strategy,Buy_Only_On_Dips,Horizon_Conviction,Notes
Energy,XOM,Stock,N,N,,Resilient / dip-buy,Resilient,Extended sector after oil spike; risk = oil mean-reverting if Iran premium fades,Deregulation + oil bid; cheap multiple,LOW,LOW,Buy dip,BUY_DIP,Y,"Medium-long, med conviction","Cheap on multiple; risk is the commodity, not valuation"
Energy,CVX,Stock,N,N,,Resilient / dip-buy,Resilient,Oil rolling over is the main risk,"~13x fwd, below market; deregulation tailwind",LOW,LOW,Buy dip,BUY_DIP,Y,"Medium-long, med-high conviction",Your buy-on-dips list (LMT/CVX/IWM)
Energy – ETF,XLE,ETF,N,N,,Resilient / dip-buy,Resilient,Sector already ran ~30% on oil,Energy led sectors recently; deregulation,LOW,LOW,Buy dip,BUY_DIP,Y,"Medium, med conviction",Cheapest bounce-back cluster vs market
Energy – Leveraged,ERX,Stock,Y,N,,Volatile,Volatile,2x daily energy,Amplifies energy rally,LOW-MED,LOW-MED,Tactical dip-buy,TACTICAL_LEV,Y,SHORT hold only,DECAY: 2x daily reset
Energy – Leveraged,ERY,Stock,Y,N,,Hedge,Volatile,Inverse energy,Rises if oil/energy falls,LOW-MED,LOW-MED,Hedge-short (tactical),HEDGE,N,SHORT hold only,DECAY: 2x daily inverse
Energy – Leveraged,GUSH,Stock,Y,N,Bull,Volatile / Hedge,Volatile,2x daily E&P (oil & gas explorers) – very high beta to crude,GUSH amplifies rally; DRIP is the hedge,LOW-MED,LOW-MED,Tactical dip-buy,TACTICAL_LEV,Y,SHORT hold only,DECAY: 2x daily. Even more crude-sensitive than ERX
Energy – Leveraged,DRIP,Stock,Y,N,Bear,Volatile / Hedge,Volatile,2x daily E&P (oil & gas explorers) – very high beta to crude,GUSH amplifies rally; DRIP is the hedge,LOW-MED,LOW-MED,Hedge-short (tactical),HEDGE,N,SHORT hold only,DECAY: 2x daily. Even more crude-sensitive than ERX
Energy – Leveraged,NRGU,ETN,Y,Y,,Volatile,Volatile,3x daily big-oil ETN,Amplifies rally,LOW-MED,LOW-MED,Tactical dip-buy,TACTICAL_LEV,Y,SHORT hold only,DECAY + ETN credit risk (not an ETF)
Defense – Primes,LMT,Stock,N,N,,Resilient / dip-buy,Resilient,Primes lagged while mid-caps ran; broad de-risking could ding it,Budgets hold either way; ~17.6x fwd near hist avg,LOW – budgets don't contract flip OR hold,LOW,Buy dip,BUY_DIP,Y,"Long-term, high conviction",Your buy-on-dips list; least-stretched way into the theme
Defense – Primes,RTX,Stock,N,N,,Resilient / dip-buy,Resilient,General de-risking,Patriot/Tomahawk demand; budget stability,LOW,LOW,Buy dip,BUY_DIP,Y,"Long-term, med-high conviction",Either-outcome trade
Defense – Primes,NOC,Stock,N,N,,Resilient / dip-buy,Resilient,De-risking,B-21 + missile defense; budget stability,LOW,LOW,Buy dip,BUY_DIP,Y,"Long-term, med-high conviction",
Defense – Primes,GD,Stock,N,N,,Resilient / dip-buy,Resilient,De-risking,Subs/combat systems; budget stability,LOW,LOW,Buy dip,BUY_DIP,Y,"Long-term, med conviction",
Defense – Primes,BA,Stock,N,N,,Volatile,Volatile,Commercial-aviation cycle + FCF issues cloud the defense story,"Recovery is company-specific, not budget-driven",LOW (defense) / MED (commercial),LOW,Selective,BUY_DIP,Y,"Medium, low-med conviction",Half commercial – behaves unlike the pure primes
Defense – Primes,LHX,Stock,N,N,,Resilient / dip-buy,Resilient,De-risking,"Electronics/sensors, high-margin",LOW,LOW,Buy dip,BUY_DIP,Y,"Long-term, med conviction",Prime/hybrid
Defense – Mid/Tech,KTOS,Stock,N,N,,Volatile,Volatile,High-beta mid-cap; ran hard; falls faster in de-risk,Drone/hypersonics order flow,LOW-MED,LOW-MED,Buy dip,BUY_DIP,Y,"Medium, med conviction",Higher beta than primes
Defense – Mid/Tech,AVAV,Stock,N,N,,Volatile,Volatile,High-beta; extended,Drone demand,LOW-MED,LOW-MED,Buy dip,BUY_DIP,Y,"Medium, med conviction",
Defense – Mid/Tech,PLTR,Stock,N,N,,Volatile,Volatile,AI-defense crossover; rich multiple = extended,Gov + commercial AI adoption,LOW-MED (defense) / crowded-AI risk,LOW-MED,Buy dip only,BUY_DIP,Y,"Medium, med conviction",Sits in BOTH defense and AI baskets; SHLD's top holding
Defense – Mid/Tech,HII,Stock,N,N,,Resilient,Resilient,Shipbuilder; long-cycle contracts,Naval budget stability,LOW,LOW,Buy dip,BUY_DIP,Y,"Long-term, med conviction",Lowest-beta of the mid-caps
Defense – Mid/Tech,LDOS,Stock,N,N,,Resilient,Resilient,Gov IT services,Budget stability,LOW,LOW,Buy dip,BUY_DIP,Y,"Medium, med conviction",
Defense – ETF,ITA,ETF,N,N,,Resilient / dip-buy,Resilient,Cap-weighted; primes-heavy,Budget stability either way,LOW,LOW,Buy dip,BUY_DIP,Y,"Long-term, med-high conviction",Core defense ETF; largest AUM
Defense – ETF,XAR,ETF,N,N,,Down (extended),Down hard,Equal-weight; up ~39% 1yr = extended; mid-caps stretched,Rearmament + budget stability,LOW,LOW,Sell CSP into Oct,SELL_CSP,Y (via CSP),"Medium, med conviction",Your CSP list (extended now). Equal-weight = more mid-cap beta
Defense – ETF,PPA,ETF,N,N,,Resilient / dip-buy,Resilient,Cap-weighted A&D,Budget stability,LOW,LOW,Buy dip,BUY_DIP,Y,"Long-term, med conviction",Alt to ITA
Defense – ETF,SHLD,ETF,N,N,,Volatile,Volatile,Global defense-tech + European names + Palantir,Rearmament theme,LOW-MED,LOW-MED,Buy dip,BUY_DIP,Y,"Medium, med conviction",Adds PLTR + Europe; different risk than US primes
Defense – Leveraged,DFEN,Stock,Y,N,,Volatile,Volatile,3x daily A&D,Amplifies the either-outcome rally,LOW,LOW,Tactical dip-buy,TACTICAL_LEV,Y,SHORT hold only,DECAY: 3x daily reset
Small Caps,IWM,ETF,N,N,,Resilient / dip-buy,Resilient,Leads early in midterm yrs then hands off to large caps from Q2,Valuation discount to large caps; domestic tilt fits tariffs/strong USD,MED,MED,Buy dip,BUY_DIP,Y,"Medium, med conviction",Your buy-on-dips list; watch the seasonal handoff
Small Caps – Leveraged,TNA,Stock,Y,N,,Volatile,Volatile,3x daily Russell 2000,Amplifies small-cap recovery,MED,MED,Tactical dip-buy,TACTICAL_LEV,Y,SHORT hold only,DECAY: 3x daily reset
Small Caps – Leveraged,TZA,Stock,Y,N,,Hedge,Volatile,Inverse Russell 2000,Rises in a risk-off,MED,MED,Hedge-short (tactical),HEDGE,N,SHORT hold only,DECAY: 3x daily inverse. Small-cap downside hedge
Small Caps – Leveraged,UWM,Stock,Y,N,,Volatile,Volatile,2x daily Russell 2000,Amplifies recovery,MED,MED,Tactical dip-buy,TACTICAL_LEV,Y,SHORT hold only,DECAY: 2x daily reset
AI/Semis – Accelerators,NVDA,Stock,N,N,,Volatile / dip-buy,Volatile,Crowded leader; China policy risk; rally lost steam,Held up BEST in the selloff; real earnings ~25-30x; deepest options chain,MED (China export controls) – less direct election link,MED,Buy dip only + CSP,DIP_OR_CSP,Y,"Long-term, high conviction",Your dip-buy + Tier-1 CSP. ~$202. Cleanest name in the complex
AI/Semis – Accelerators,AMD,Stock,N,N,,Down hard,Down hard,~163x P/E = most extended; fell ~7% post-earnings,Fundamentals intact (Data Center +57%); MI450 ramp,MED,MED,Avoid / careful CSP,AVOID,Y,"Medium, low-med conviction",Rich premium but assignment = extended name in downtrend
AI/Semis – Accelerators,INTC,Stock,N,N,,Down hard,Down hard,Triple-digit YTD = extended; falls hardest with AMD,"Turnaround/foundry optionality (specific, not thematic)",MED,MED,Avoid / tactical,AVOID,Y,"Medium, low conviction",Most-extended semis fall hardest
AI/Semis – Custom/Network,AVGO,Stock,N,N,,Volatile / dip-buy,Volatile,Below 200-day (~$424); Sept Q3 earnings in the weak window = binary,Custom-ASIC franchise; ~$285-300 support zone,MED,MED,Buy dip / CSP Tier 2,DIP_OR_CSP,Y,"Long-term, high conviction","Your dip-buy + Tier-2 CSP. ~$370; sell puts below support, size for Sept earnings"
AI/Semis – Custom/Network,MRVL,Stock,N,N,,Down hard,Down hard,High-beta custom silicon; falls with AVGO,Custom-ASIC / networking demand,MED,MED,Buy dip only,BUY_DIP,Y,"Medium, med conviction",
AI/Semis – Custom/Network,CRDO,Stock,N,N,,Down hard,Down hard,Smallest/most volatile; thin liquidity,Networking/interconnect demand,MED,MED,Speculative dip-buy,BUY_DIP,Y,"Medium, low conviction",Wide spreads = NOT a clean CSP name
AI/Semis – Memory,MU,Stock,N,N,,Down hard,Down hard,+197% YTD; commodity pricing; 2027 price-peak + CXMT China competition,HBM demand ($50B quarter guide); recovers with cycle,MED,MED,CSP only if you want memory,SELL_CSP,Y,"Medium, low-med conviction",Your 'gets hit' list. Fattest IV = paid for real risk; leads every down day
AI/Semis – Memory,WDC,Stock,N,N,,Down hard,Down hard,Storage; hit hardest in chip selloffs,Cyclical recovery,MED,MED,Buy dip only,BUY_DIP,Y,"Medium, low conviction",
AI/Semis – Memory,STX,Stock,N,N,,Down hard,Down hard,Storage; high cyclical beta,Cyclical recovery,MED,MED,Buy dip only,BUY_DIP,Y,"Medium, low conviction",
AI/Semis – Memory,SNDK,Stock,N,N,,Down hard,Down hard,Fell 14% in a single selloff session,Cyclical recovery,MED,MED,Buy dip only,BUY_DIP,Y,"Medium, low conviction",Highest single-day drawdowns in the complex
AI/Semis – Foundry,TSM,Stock,N,N,,Volatile / dip-buy,Volatile,Sold off on higher-capex guide despite a beat (optics),Near-monopoly foundry; more reasonable multiple,MED (Taiwan/China geopolitics),MED,Buy dip only + CSP,DIP_OR_CSP,Y,"Long-term, high conviction",Your dip-buy + Tier-1 CSP. Quality punished on optics = clean 'own the dip'
AI/Semis – Equipment,ASML,Stock,N,N,,Down hard,Down hard,Falls on 'capex peaking' fear; below 200-day earlier,EUV monopoly; Oct 14 earnings catalyst,MED (China export controls),MED,Buy dip only,BUY_DIP,Y,"Long-term, med-high conviction",Your 'gets hit' list. Picks-and-shovels; capex-doubt beta
AI/Semis – Equipment,AMAT,Stock,N,N,,Down hard,Down hard,Capex-sustainability fear,Tooling demand recovery,MED,MED,Buy dip only,BUY_DIP,Y,"Medium, med conviction",Your 'gets hit' list
AI/Semis – Equipment,LRCX,Stock,N,N,,Down hard,Down hard,Capex-doubt beta (~66% YTD),Tooling recovery,MED,MED,Buy dip only,BUY_DIP,Y,"Medium, med conviction",Your 'gets hit' list
AI/Semis – Equipment,KLA,Stock,N,N,,Down hard,Down hard,Capex-doubt beta,Inspection/metrology demand,MED,MED,Buy dip only,BUY_DIP,Y,"Medium, med conviction",Your 'gets hit' list
AI/Semis – ETF,SOXX,ETF,N,N,,Down hard,Down hard,Complex already shed ~$3.3T since Jun; tends to underperform Q3,AI capex still climbing; post-midterm window,MED,MED,Buy dip only,BUY_DIP,Y,"Medium, med-high conviction",Sector gauge; SMH slightly more NVDA-weighted
AI/Semis – ETF,SMH,ETF,N,N,,Down hard,Down hard,Complex already shed ~$3.3T since Jun; tends to underperform Q3,AI capex still climbing; post-midterm window,MED,MED,Buy dip only,BUY_DIP,Y,"Medium, med-high conviction",Sector gauge; SMH slightly more NVDA-weighted
AI/Semis – Leveraged,SOXL,Stock,Y,N,,Volatile,Volatile,3x daily semis; brutal in a downtrend,Explosive in a recovery,MED,MED,Tactical dip-buy at the flush,TACTICAL_LEV,Y,SHORT hold only,DECAY: 52-wk range ~$24-$302 shows the decay. ~$140 (8/8). Tactical only
AI/Semis – Leveraged,SOXS,Stock,Y,N,,Hedge,Volatile,Inverse semis – rises as chips fall,Falls when chips recover,MED,MED,Hedge-short (tactical),HEDGE,N,SHORT hold only,Your note: buy SOXS as the AI/semi downside hedge. DECAY: 3x daily inverse
AI/Semis – Leveraged,NVDL,Stock,Y,N,Bull,Volatile,Volatile,2x daily single-stock NVDA,Amplifies an NVDA bounce,MED,MED,Tactical dip-buy,TACTICAL_LEV,Y,SHORT hold only,"DECAY + single-stock concentration. NVDL=GraniteShares, NVDU=Direxion"
AI/Semis – Leveraged,NVDU,Stock,Y,N,Bull,Volatile,Volatile,2x daily single-stock NVDA,Amplifies an NVDA bounce,MED,MED,Tactical dip-buy,TACTICAL_LEV,Y,SHORT hold only,"DECAY + single-stock concentration. NVDL=GraniteShares, NVDU=Direxion"
Broad Market,SPY,ETF,N,N,,Volatile,Volatile,Seasonal dip risk (unrealized in 2026 so far),Q4 + post-midterm 12mo = strongest cycle stretch,MED,MED,Core / add on Oct dip,CORE_HOLD,Partial,"Long-term, high conviction",Benchmark; ~+10% YTD has bucked the seasonal script
Broad Market,QQQ,ETF,N,N,,Volatile,Volatile,Seasonal dip risk (unrealized in 2026 so far),Q4 + post-midterm 12mo = strongest cycle stretch,MED,MED,Core / add on Oct dip,CORE_HOLD,Partial,"Long-term, high conviction",Benchmark; ~+10% YTD has bucked the seasonal script
Broad Market – Leveraged,SPXL,Stock,Y,N,Bull,Volatile / Hedge,Volatile,3x daily S&P bull/bear,SPXL for the post-Oct rally; SPXS to hedge,MED,MED,Tactical dip-buy,TACTICAL_LEV,Y,SHORT hold only,DECAY: 3x daily reset
Broad Market – Leveraged,SPXS,Stock,Y,N,Bear,Volatile / Hedge,Volatile,3x daily S&P bull/bear,SPXL for the post-Oct rally; SPXS to hedge,MED,MED,Hedge-short (tactical),HEDGE,N,SHORT hold only,DECAY: 3x daily reset
Broad Market – Leveraged,UPRO,Stock,Y,N,Bull,Volatile / Hedge,Volatile,3x daily S&P bull/bear (ProShares),Same use as SPXL/SPXS,MED,MED,Tactical dip-buy,TACTICAL_LEV,Y,SHORT hold only,DECAY: 3x daily reset
Broad Market – Leveraged,SPXU,Stock,Y,N,Bear,Volatile / Hedge,Volatile,3x daily S&P bull/bear (ProShares),Same use as SPXL/SPXS,MED,MED,Hedge-short (tactical),HEDGE,N,SHORT hold only,DECAY: 3x daily reset
Broad Market – Leveraged,TQQQ,Stock,Y,N,Bull,Volatile / Hedge,Volatile,3x daily Nasdaq-100; heavy AI/semi weight = highest beta,TQQQ for the rally; SQQQ to hedge the AI unwind,MED,MED,Tactical dip-buy,TACTICAL_LEV,Y,SHORT hold only,DECAY: 3x daily. Most AI-concentrated leverage
Broad Market – Leveraged,SQQQ,Stock,Y,N,Bear,Volatile / Hedge,Volatile,3x daily Nasdaq-100; heavy AI/semi weight = highest beta,TQQQ for the rally; SQQQ to hedge the AI unwind,MED,MED,Hedge-short (tactical),HEDGE,N,SHORT hold only,DECAY: 3x daily. Most AI-concentrated leverage
